CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|87G0361|CET|1|FR||PONT SUR SEINE|PONT SUR SEINE||||485550N|26|022532E|||||FRR|871A031|RDS
|87G0103|CET|1|FR||CHATEAU RENAULT|CHATEAU RENAULT||||473516N|26|005404E|||||FRR|871A032|RDS
|87G0082|CET|1|FR||CARIGNAN|CARIGNAN||||493742N|26|051006E|||||FRR|871A033|RDS
|87G0086|CET|1|FR||CERGY|CERGY||||490254N|26|020043E|||||FRR|871A034|RDS
|87G0025|CET|1|FR||BAR SUR AUBE|BAR SUR AUBE||||481419N|26|044223E|||||FRR|871A035|RDS
|87G0431|CET|1|FR||ST DENIS|ST DENIS||||485606N|26|022043E|||||FRR|871A037|RDS
|87G0507|CET|1|FR||TOURS|TOURS||||472321N|26|004139E|||||FRR|871A038|RDS
|87G0109|CET|1|FR||CHAVILLE|CHAVILLE||||484758N|26|021104E|||||FRR|871A040|RDS
|87G0533|CET|1|FR||VITRY LE FRANCOIS|VITRY LE FRANCOIS||||484304N|26|043515E|||||FRR|871A041|RDS
|87G0526|CET|1|FR||VILLENEUVE ST GEORGES|VILLENEUVE ST GEORGE||||484348N|26|022648E|||||FRR|871A042|RDS
|87G0194|CET|1|FR||HENDAYE|HENDAYE||||455656N|26|005931W|||||FRR|871A043|RDS
|87G0023|CET|1|FR||BALE|BALE||||483213N|26|074235E|||||FRR|871A044|RDS
|87G0302|CET|1|FR||MENTON|MENTON||||434627N|26|072935E|||||FRR|871A047|RDS
|87G0520|CET|1|FR||VIEVOLA|VIEVOLA||||440645N|26|073347E|||||FRR|871A049|RDS
|87G0486|CET|1|FR||ST SEVER 14|ST SEVER 14||||485037N|26|010307W|||||FRR|871A051|RDS
|87G0530|CET|1|FR||VIRE|VIRE||||455544N|26|060716E|||||FRR|871A052|RDS
|87G0286|CET|1|FR||MARANS|MARANS||||445229N|26|003312W|||||FRR|871A053|RDS
|87G0362|CET|1|FR||PONTRIEUX|PONTRIEUX||||484152N|26|030952W|||||FRR|871A054|RDS
|87G0123|CET|1|FR||CONCARNEAU|CONCARNEAU||||484516N|26|022112E|||||FRR|871A056|RDS
|87G0122|CET|1|FR||COLOMIERS|COLOMIERS||||433613N|26|012004E|||||FRR|871A057|RDS
|87G0224|CET|1|FR||LABEGE|LABEGE||||433249N|26|013048E|||||FRR|871A058|RDS
|87G0279|CET|1|FR||LUNEL|LUNEL||||434051N|26|040536E|||||FRR|871A059|RDS
